Fraud_Label,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
0,32.45,12921.57,129540.15,10,10,0,2,1,1.000052,1.014875,1.004819,0.999088,1.01417,1.004055,0,0,0,20,10.04055439,10.04819041,0,0.007636018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3716.41,1448.09,385961.98,8,246,0,4,3,0.118061,81.386,3.381313,0.01,300,103.974875,0,0,0,254,831.799,831.8030477,0,0.004047714,8,6193.025913,0,0,0,7,0,8,0,0,0,0,0,4035.631891,774.128239,0,0,0,0,0,0,0,8,None,XENON
0,0,12431.27,198900.25,0,16,1,4,0,0,1.002069,0.769166,0,0,0,0,0,0,17,0,12.30665958,0,12.30665958,2,0.181283664,0,0,0,2,0,2,0,0,0,0,0.075367,0.105917,0.090642,0,0,0,0,0,0,0,2,None,DATAcoin
0,9520.7,5776.32,78197.58,7,2,0,2,4,0.095,0.265159,0.180079,0,0.133441,0.037563,0,0,0,9,0.262941117,0.36015854,0,0.097217423,3,8.001,0,0,0,2,0,2,0,0,0,0,0.001,5,2.667,0,0,0,0,0,0,0,2,None,PoSToken
0,14106.66,3742.82,540061.9,32,24,0,11,21,0,1499.99958,77.125266,0,1100,102.312148,0,0,0,56,3273.988723,1851.006376,0,-1422.982347,33,139827.7923,133086.5,0,4,23,0,26,0,0,0,0,0,118324.5,4993.849726,1.00E-06,118324.5,26617.3,0,0,0,4,26,TenXPay,KyberNetwork
0,3.13,4923.24,280803.43,57,57,0,2,2,0.016037,0.277689,0.204013,0.015617,0.277269,0.203593,0,0,0,114,11.6048114,11.6287514,0,0.023940002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27681.45,11171.03,842599.05,26,11,0,6,15,0.09,34.94,16.564688,0,34.9,9.896423,0,0,0,37,257.307,182.2115661,0,-75.09543387,13,308440.3104,307097.3104,0,4,8,0,7,0,0,0,0,0,274230,34271.1456,1620,274231,76774.3276,0,0,0,3,7,StatusNetwork,Bancor
0,770.29,3.82,2318.5,3,2,0,1,3,7.772,19.995,13.8835,3.7,20.082772,9.255226,0,0,0,5,27.765677,27.767,0,0.001323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,163.78,1.11,329.78,2,2,0,2,2,44.048882,56.951118,50.5,0.61,100.388974,50.499487,0,0,0,4,100.9989738,101,0,0.001026218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6324.45,113840.02,0,18,1,5,0,0,12.782766,5.662421,0,0,0,0,0,0,19,0,101.9235724,0,101.9235724,2,4.983578382,0,0,0,2,0,2,0,0,0,0,2,2.983578,2.491789,0,0,0,0,0,0,0,2,None,OmiseGO
